month,km_naive_survival,aj_cif_default,aj_cif_prepaid
0,1.0,0.0,0.0
1,0.9985880476926121,0.0014119523073887281,0.010797857494591294
2,0.9960749478891818,0.0038978776482269635,0.01936058799544032
3,0.9927777220558653,0.007131105656196467,0.02861561414765809
4,0.9886998846577801,0.01109177882588495,0.03872237827216354
5,0.9838990882695599,0.0157055638920391,0.0494556599585861
6,0.9783654566222457,0.02096327121031163,0.06104244755473245
7,0.9725745009178145,0.026396889275595865,0.0736828249888609
8,0.9664482782527695,0.03206546484076165,0.08734541909318877
9,0.9600679363698736,0.03787897782980258,0.10105697164104627
10,0.9533758277255426,0.04388098451868053,0.11477393000324711
11,0.9462124810808651,0.050202569689822896,0.12926390893815332
12,0.9390397893166242,0.05642256165643216,0.14416564678887958
13,0.9318708544956851,0.06252553098099813,0.16030717086024945
14,0.9246864611401591,0.068517214856598,0.17642149302211435
15,0.9177582580945274,0.07417450320627707,0.191373758326731
16,0.9107134851166792,0.07981220323790476,0.20661579834977192
17,0.9036604453310801,0.08533847662348704,0.22236438307796247
18,0.8969091568490051,0.09051066019489318,0.2373664233845541
19,0.8902072344577591,0.09553292536949987,0.2528089101051168
20,0.8835709651890412,0.10039087179315755,0.2685936687316264
21,0.8769350652217053,0.1051299993017484,0.28393415864648414
22,0.8701796462906556,0.10983630848783402,0.29969145772218214
23,0.8635458300917567,0.11433777469221303,0.315388269433154
24,0.8568793759466249,0.11874021060762634,0.33106668173716974
25,0.850209200098278,0.12302305937447254,0.3469707464248551
26,0.8440432143240116,0.12686683176994548,0.36202209481879905
27,0.8378256939802371,0.13063185640723038,0.37706538181080035
28,0.8315764621834183,0.13430387803976576,0.39250591892760883
29,0.8256676426140864,0.1376661611957293,0.40750166958199724
30,0.8198612787170391,0.14086468921146594,0.4227177836382841
31,0.8143091349566924,0.1438201316907899,0.43836399567912415
32,0.8090685240833224,0.14650904958594313,0.4538523708623642
33,0.8039121383757645,0.14905604109339812,0.4696347970474382
34,0.7989794607910959,0.15139569373172193,0.4863872980673294
35,0.7946222195504435,0.15337104724661177,0.5071737902834695
36,0.7912117446916365,0.1548279701324969,0.6672552828232605
37,0.7857829364487334,0.15604872539729753,0.7186613703520184
38,0.7787912468423862,0.1571635219660404,0.7257741628562834
39,0.7725642819825537,0.1580995146675218,0.7284511697262622
40,0.767261655924725,0.15887819329816286,0.7311676287659794
41,0.7621394227992029,0.1596122465747258,0.7339062602407203
42,0.7573121861094129,0.1602866787787393,0.7367094942926496
43,0.7523957123050679,0.1609553800437267,0.7394866372820418
44,0.747606325824979,0.16158911791384847,0.7421468451886235
45,0.7425707647107188,0.16223751189361843,0.7450084453518162
46,0.7378623618427109,0.16282563550645027,0.7477761855816559
47,0.7331914968562253,0.16339154975459314,0.7504846186286783
48,0.7285946329412126,0.16393151719213042,0.7532624294535543
49,0.723936169292446,0.16446095972712643,0.7560564797065996
50,0.7197633388398106,0.1649191040542825,0.7586168269511847
51,0.7149510392518345,0.16543033877250327,0.7614607186860314
52,0.7110811119616401,0.16582606697816413,0.7641497041331927
53,0.7076771295860778,0.16616127661457494,0.7665892853759604
54,0.7045323130563255,0.16646012355398696,0.7693055377559627
55,0.7016847026611851,0.16671974879358062,0.7720239667352374
56,0.6990085029264883,0.1669533780171173,0.7747204373568899
57,0.6959282279885655,0.1672104001906329,0.777526262751102
58,0.6933746281489515,0.1674131803667675,0.7803345768885134
59,0.6912404942607173,0.16757400725233645,0.7841696795443883
60,0.6896430629095881,0.16768552581677368,0.8168178544690319
61,0.6868699853290668,0.16774783823752362,0.8304403082975965
62,0.6634054827246574,0.1678097338527836,0.8321621317766468
