grade,n_loans,avg_loan_amnt,avg_int_rate,avg_dti,avg_fico,default_rate,prepaid_rate,censored_rate
A,431473,14605.072797139102,7.08438314796059,16.245593469160568,728.9503167057962,0.03283171832304686,0.5086784109318544,0.4584898707450988
B,660649,14174.509762370033,10.676379908241744,17.97383166670201,699.7967074800688,0.07953088553831157,0.5111549400665104,0.4093141743951781
C,646907,15039.191027458352,14.144003465722275,19.562211262376238,689.2440644482128,0.1324054307651641,0.45376537894936986,0.41382919028546605
D,322643,15714.999705556917,18.141476430605962,20.939992802050174,683.9334341671755,0.18959655098669428,0.42997368608647946,0.38042976292682623
E,134839,17451.804559511715,21.824602377650383,21.558348647003815,682.386512804159,0.2680678438730634,0.42459525804848747,0.3073368980784491
F,41530,19127.696243679267,25.446318564892845,21.688871861597033,680.3427642667951,0.3508548037563207,0.42053936913074885,0.2286058271129304
G,12035,20381.366846697132,28.063906107187368,22.417019470793807,679.2023265475696,0.38462816784378895,0.3794765267968425,0.2358953053593685
