grade,n_loans,cif_default_36m,cif_prepaid_36m
A,431473,0.05025133528993223,0.7331215083367717
B,660649,0.10629686402495768,0.6470848869129008
C,646907,0.17054420998371655,0.6216463581044505
D,322643,0.2375142140687284,0.49605269302193467
E,134839,0.3028606479879526,0.4482873186461083
F,41530,0.3686006852379022,0.381719185509977
G,12035,0.41613488746859156,0.36881780358078897
