model,covariate,hazard_ratio,ci_lower,ci_upper,p_value
charged_off,loan_amnt,1.0000066477691696,1.0000049455888034,1.0000083499524333,1.9399418823378153e-14
charged_off,annual_inc,0.999998293438608,0.999997996551655,0.9999985903256492,1.9265167220925642e-29
charged_off,dti,1.0025216663503302,1.0019963540001913,1.003047254103732,4.604858857196924e-21
charged_off,fico_range_low,0.9947667723063125,0.9942346423589494,0.9952991870579551,2.5379866313276505e-82
charged_off,delinq_2yrs,0.9931844068689132,0.9799481826665429,1.0065994136173755,0.31776559497369966
charged_off,open_acc,1.007974727950031,1.0057499241406724,1.0102044532133927,1.8470243241161394e-12
charged_off,pub_rec,1.0121095574161316,0.9923708160363534,1.0322409120257245,0.23097986717477897
charged_off,revol_util,0.9958371439177085,0.995256956509391,0.9964176695476545,1.0304794801166957e-44
charged_off,grade_B,1.1659981272098958,1.1173859700345845,1.216725168488472,1.568594591259966e-12
charged_off,grade_C,1.8068568868739432,1.7326985033997113,1.8841892015478159,1.74014946953525e-168
charged_off,grade_D,2.5826666456663716,2.4665473788772085,2.7042525352478326,0.0
charged_off,grade_E,3.305352305502561,3.133055096578187,3.4871247158798404,0.0
charged_off,grade_F,4.1495436992284205,3.864584432141194,4.4555147426980035,0.0
charged_off,grade_G,5.542484132049307,4.983012399812778,6.164771003815391,2.309066393107803e-218
charged_off,term_ 60 months,0.957597670831266,0.9291981135742602,0.9868652182839164,0.004791324332867999
charged_off,home_ownership_MORTGAGE,0.9179874183475312,0.8653887884023934,0.9737830112175215,0.004477060343087296
charged_off,home_ownership_OTHER,0.556062568695415,0.15189192455168188,2.0356946639314892,0.3754181007310685
charged_off,home_ownership_OWN,1.0141567471671928,0.9496835282181935,1.0830069989256845,0.6748760257764607
charged_off,home_ownership_RENT,1.0884710046591228,1.0259958109927945,1.154750453451862,0.004940112703734516
charged_off,purpose_credit_card,0.9832628316865448,0.9288049526278023,1.040913696078953,0.5615027084064319
charged_off,purpose_debt_consolidation,1.0635828355028465,1.007803425620995,1.1224494968145595,0.024911317799030542
charged_off,purpose_educational,1.4161049001011161,0.7128475237785329,2.8131585243654635,0.3204982889781014
charged_off,purpose_home_improvement,1.0180374483825292,0.9483643147043741,1.0928292326480877,0.6211425452128668
charged_off,purpose_house,1.1154604615212143,0.9471252623955014,1.3137143423564859,0.19049489426225596
charged_off,purpose_major_purchase,1.0398533572913637,0.9419312124126092,1.1479553819015647,0.43866719984611435
charged_off,purpose_medical,1.1405992828651197,1.0103190980736385,1.2876790377940601,0.03351471739459592
charged_off,purpose_moving,1.0791315735453373,0.9320831561531776,1.2493788191909552,0.3082319430618513
charged_off,purpose_other,1.0375406002406224,0.9682877670654334,1.1117464598465032,0.29573443210743067
charged_off,purpose_renewable_energy,1.1629233053927823,0.764676227485559,1.7685793877399105,0.4804140574559116
charged_off,purpose_small_business,1.19320465317838,1.0686293700424003,1.332302278300706,0.0016905959057809793
charged_off,purpose_vacation,1.0151743207966772,0.8657926718242746,1.1903298966870512,0.8528779455970418
charged_off,purpose_wedding,0.7330082451689403,0.5158379379162783,1.0416083191865861,0.0831729966936558
charged_off,verification_status_Source Verified,1.164562387257183,1.1290574853837685,1.2011837938908598,5.22451175235543e-22
charged_off,verification_status_Verified,1.2037191856242437,1.1649403567778212,1.2437888939203745,1.2865220440380943e-28
charged_off,emp_length_10+ years,0.9433561326536459,0.9060209687282059,0.9822297979090233,0.004651616337451512
charged_off,emp_length_2 years,0.9472122147741143,0.898611560513774,0.9984413947493729,0.04359066232464512
charged_off,emp_length_3 years,0.9719260453484004,0.9206042929950697,1.026108877412806,0.3035799776521556
charged_off,emp_length_4 years,0.9578251393500248,0.9023231742696808,1.0167410344009395,0.15711733226793756
charged_off,emp_length_5 years,0.9594613065548948,0.9042991358281215,1.0179883650259245,0.17074162230431061
charged_off,emp_length_6 years,0.9773123568783777,0.9154159637982952,1.0433939112707313,0.4917910352778845
charged_off,emp_length_7 years,0.977358533521576,0.9137694675335526,1.0453727520857121,0.5046395959939692
charged_off,emp_length_8 years,1.0552205586793382,0.9877668508535105,1.1272806194066836,0.11076457355972426
charged_off,emp_length_9 years,1.0275407590523051,0.9579052714707459,1.1022384393946123,0.4479689790640321
charged_off,emp_length_< 1 year,1.024106891096646,0.9707135294653443,1.0804371140982234,0.3832382804024005
charged_off,emp_length_Missing,1.1467867629529795,1.08267382818809,1.2146962875098712,3.068967270448261e-06
charged_off,application_type_Joint App,0.779839354254412,0.721193668297874,0.8432539623916315,4.5454431707508307e-10
fully_paid,loan_amnt,0.9999981047541469,0.9999972310110077,0.9999989784980494,2.124634563903229e-05
fully_paid,annual_inc,1.0000001982114122,1.000000144796477,1.0000002516263502,3.515691596833902e-13
fully_paid,dti,0.9945398051333101,0.9937530842988072,0.9953271487881908,6.870757749488381e-42
fully_paid,fico_range_low,1.0005720077636073,1.0003097452762275,1.0008343390113013,1.907579159239928e-05
fully_paid,delinq_2yrs,0.9630491675828777,0.9554717390115848,0.9706866894268534,9.462732967946396e-21
fully_paid,open_acc,0.9993941296040076,0.9981222380703714,1.0006676418891025,0.3509442065461539
fully_paid,pub_rec,1.0036641767084586,0.992893510457909,1.0145516805153616,0.5064289403113932
fully_paid,revol_util,0.9947975908691482,0.9944763002651822,0.9951189852741321,7.986071980401947e-220
fully_paid,grade_B,1.0926994731995496,1.0721641202654066,1.113628143455322,5.2687669926971025e-20
fully_paid,grade_C,1.1576378857307217,1.1333698199308209,1.182425586875866,8.8463317572965e-42
fully_paid,grade_D,1.1954254269835598,1.1649912184649485,1.226654698188888,6.337275429017365e-42
fully_paid,grade_E,1.1965015296044486,1.1557578273850422,1.2386815615040092,3.345216831177936e-24
fully_paid,grade_F,1.4508035216055042,1.375149035618552,1.5306201755478557,3.115053936609606e-42
fully_paid,grade_G,1.580233742272262,1.4259703710951022,1.751185530101913,2.5295647292062612e-18
fully_paid,term_ 60 months,0.3189791638338678,0.31266788055877054,0.32541784201920443,0.0
fully_paid,home_ownership_MORTGAGE,1.0781413969553086,1.0181778985696432,1.1416363225539383,0.009966787711438448
fully_paid,home_ownership_OTHER,0.6940551969212843,0.4253163659576709,1.1325983548476581,0.14384294036237794
fully_paid,home_ownership_OWN,0.9757691048393197,0.9196346888158213,1.035329960405194,0.41712136435676395
fully_paid,home_ownership_RENT,0.9336077833963267,0.8816087809777879,0.9886737882209942,0.018796791906695667
fully_paid,purpose_credit_card,1.027816538580476,0.9851502446110262,1.072330685353136,0.20467582052405695
fully_paid,purpose_debt_consolidation,1.0849012776932194,1.0409985376439914,1.1306555578879238,0.0001104549730371008
fully_paid,purpose_educational,0.702205915077732,0.47131012645193027,1.046218019719223,0.08223526076738218
fully_paid,purpose_home_improvement,1.0055215488541849,0.9594874609693119,1.0537642505392335,0.817860979718312
fully_paid,purpose_house,1.1726104093357101,1.0647118969153733,1.2914434186995398,0.0012243422975149667
fully_paid,purpose_major_purchase,1.0065959520013386,0.9499609383231398,1.0666074463798825,0.8239153715154179
fully_paid,purpose_medical,0.9615126424874006,0.8932732547361912,1.0349650084801172,0.2960484097298892
fully_paid,purpose_moving,1.026786393653089,0.9410277980413575,1.1203604190922964,0.5524897419519097
fully_paid,purpose_other,0.960672857116289,0.9158020841326207,1.0077421250619545,0.10018542070672723
fully_paid,purpose_renewable_energy,1.0766602010832584,0.8533154572638979,1.3584626631674235,0.5334843389869064
fully_paid,purpose_small_business,0.8077477318422478,0.7501007348655704,0.8698250354510398,1.5889032169485087e-08
fully_paid,purpose_vacation,1.0449660657988382,0.959600427071707,1.1379257948053254,0.31174862634398937
fully_paid,purpose_wedding,0.8789056719940845,0.7573297248932138,1.0199984958629416,0.0892654442527006
fully_paid,verification_status_Source Verified,0.991488845771142,0.9763205523807675,1.006892796522017,0.2771811855441543
fully_paid,verification_status_Verified,1.0126317624933787,0.9955157218554086,1.0300420816049973,0.14895601462723176
fully_paid,emp_length_10+ years,0.9794292456556276,0.9553029362948348,1.0041648683360573,0.10239370280182301
fully_paid,emp_length_2 years,1.0212869989477964,0.9908159827430171,1.0526951042233246,0.1728975340293451
fully_paid,emp_length_3 years,1.0085024826546751,0.9774848568698747,1.040504362162246,0.595281372674242
fully_paid,emp_length_4 years,0.9986698556538502,0.9654259151023158,1.033058534052283,0.9385778538684525
fully_paid,emp_length_5 years,1.009950805564099,0.9768152613542345,1.0442103742784148,0.5607347145337241
fully_paid,emp_length_6 years,1.0165571097185309,0.980290139840674,1.0541658181803697,0.37563517926227463
fully_paid,emp_length_7 years,0.9764312203767146,0.9409149017651781,1.0132881585122375,0.20706631389144256
fully_paid,emp_length_8 years,0.9812521150754846,0.9453313700255629,1.0185377782544922,0.31991157010503335
fully_paid,emp_length_9 years,1.0058403273587784,0.9671174743611228,1.0461136221424936,0.7712603974991886
